Employee;Exerciser;Rating
1;Yes;14
2;No;7
3;No;15
4;Yes;15
5;No;13
6;No;16
7;No;19
8;No;14
9;Yes;14
10;No;9
11;Yes;23
12;No;23
13;No;15
14;Yes;8
15;No;24
16;No;18
17;Yes;12
18;No;19
19;Yes;16
20;Yes;14
21;No;19
22;No;20
23;No;16
24;No;20
25;No;18
26;No;6
27;Yes;20
28;Yes;14
29;No;14
30;No;13
31;Yes;15
32;No;20
33;Yes;20
34;Yes;15
35;Yes;19
36;No;23
37;No;22
38;No;5
39;Yes;13
40;No;6
41;No;19
42;Yes;19
43;Yes;23
44;Yes;16
45;Yes;19
46;No;11
47;Yes;20
48;No;5
49;No;9
50;Yes;22
51;No;10
52;No;10
53;No;9
54;Yes;13
55;No;5
56;No;9
57;Yes;23
58;No;11
59;Yes;10
60;No;11
61;No;19
62;No;22
63;No;6
64;No;14
65;Yes;15
66;No;21
67;Yes;24
68;Yes;17
69;No;12
70;No;11
71;No;15
72;No;14
73;No;12
74;Yes;20
75;Yes;16
76;No;15
77;No;13
78;No;13
79;No;19
80;No;12
