Lightbulb;Lifetime
1;840.08
2;960.00
3;953.38
4;981.14
5;938.66
6;1051.14
7;907.84
8;1000.10
9;1073.20
10;1150.66
11;1010.57
12;791.59
13;896.24
14;955.35
15;937.94
16;1113.18
17;1108.81
18;773.62
19;1038.43
20;1126.55
21;950.23
22;1038.19
23;1136.67
24;1031.55
25;1074.28
26;976.90
27;1046.30
28;986.54
29;1014.83
30;920.73
31;1083.41
32;873.59
33;902.92
34;1049.17
35;998.58
36;1010.89
37;1028.71
38;1049.92
39;1080.95
40;1026.41
41;958.95
42;985.17
43;988.49
44;1012.99
45;1070.82
46;1063.13
47;948.57
48;1156.42
49;973.79
50;845.85
51;1025.35
52;931.60
53;931.69
54;1063.00
55;971.95
56;689.52
57;999.63
58;966.65
59;1022.77
60;1041.44
61;987.74
62;887.28
63;975.27
64;904.52
65;937.41
66;964.32
67;1047.56
68;1109.78
69;1053.21
70;1091.02
71;1114.46
72;967.33
73;1131.02
74;920.96
75;983.79
76;972.49
77;1001.50
78;811.08
79;1035.06
80;1001.30
81;970.45
82;1111.68
83;955.20
84;920.79
85;941.75
86;937.89
87;1024.13
88;952.33
89;879.74
90;866.77
91;1080.00
92;1002.06
93;1038.74
94;1017.37
95;988.42
96;893.74
97;1022.92
98;1081.83
99;1154.07
100;827.85
