Index;Movie;Distributor;Genre;7-day Gross;14-day Gross;Total US Gross;International Gross;US DVD Sales;Budget
1;The Texas Chainsaw Massacre: The Beginning;New Line;Horror;$22 707 121;$32 109 139;$39 517 763;$11 000 000;$15 909 367;$16 000 000
2;Year of the Dog;Paramount Vantage;Drama;$141 803;$318 598;$1 540 141;;;
3;War;Lionsgate;Action;$12 839 402;;$22 466 994;$18 200 000;$27 040 983;$25 000 000
4;Stomp the Yard;Sony Pictures;Drama;$28 263 594;$42 853 277;$61 356 221;$15 000 000;$33 166 898;$14 000 000
5;The Illusionist;Freestyle Releasing;Drama;;;$39 868 642;$44 407 533;$38 189 217;$16 500 000
6;Pirates of the Caribbean: At World's End;Buena Vista;Adventure;$173 339 068;$232 297 818;$309 420 425;$651 576 067;$295 701 718;$300 000 000
7;Sicko;Weinstein Co.;Documentary;;;$24 538 513;$9 000 000;$17 375 592;$9 000 000
8;Babel;Paramount Vantage;Drama;;;$34 302 837;$101 000 000;$31 456 221;$20 000 000
9;Ghost Rider;Sony Pictures;Action;$58 960 097;$83 257 376;$115 802 596;$121 900 000;$103 699 106;$120 000 000
10;Saw III;Lionsgate;Horror;$44 576 835;$63 279 443;$80 238 724;$83 638 091;$47 124 617;$10 000 000
11;World Trade Center;Paramount Pictures;Drama;;;$70 278 893;$93 000 000;$36 856 697;$65 000 000
12;Beerfest;Warner Bros.;Comedy;$10 151 951;$15 786 241;$19 185 184;$974 132;$28 372 842;
13;Ocean's Thirteen;Warner Bros.;Adventure;$50 705 336;$79 668 309;$117 144 465;$194 600 000;$47 716 836;$85 000 000
14;Amazing Grace;Samuel Goldwyn Films;Drama;$5 200 372;;$21 214 987;$6 771 432;$25 275 167;
15;Shrek the Third;Paramount Pictures;Adventure;$150 338 458;$227 906 792;$322 719 944;$476 238 218;$174 342 569;$160 000 000
16;The Holiday;Sony Pictures;Romantic Comedy;$17 110 339;$30 092 962;$63 280 000;$141 910 324;$71 202 459;$85 000 000
17;Deck the Halls;20th Century Fox;Comedy;;;$35 093 569;$12 137 501;$28 291 848;
18;The Namesake;Fox Searchlight;Drama;$361 518;$1 333 480;$13 610 521;$6 569 588;$9 345 626;
19;D‚j… Vu;Buena Vista;Thriller/Suspense;;;$64 038 616;$117 000 000;$40 473 916;$80 000 000
20;Running With Scissors;Sony Pictures;Comedy;;$3 660 628;$6 775 659;$437 970;$1 877 732;$12 000 000
21;Ratatouille;Buena Vista;Comedy;$80 517 305;$124 984 886;$206 445 654;$418 000 000;$189 036 784;$150 000 000
22;The Hills Have Eyes II;Fox Searchlight;Horror;$11 883 609;$17 579 582;$20 804 166;$16 662 372;$30 466 195;$15 000 000
23;Fast Food Nation;Fox Searchlight;Drama;$580 363;$853 713;$1 005 539;;;
24;Nancy Drew;Warner Bros.;Thriller/Suspense;$11 687 594;$19 334 739;$25 584 685;$5 000 000;$10 392 745;
25;28 Weeks Later;20th Century Fox;Horror;$13 460 756;$21 121 250;$28 638 916;$35 599 524;$24 333 111;
26;The Condemned;Lionsgate;Action;$4 947 445;$6 769 217;$7 371 706;;;
27;Employee of the Month;Lionsgate;Comedy;$14 310 416;$21 038 727;$28 444 855;$9 672 863;$21 061 839;$10 000 000
28;Man of the Year;Universal;Comedy;$15 480 880;$24 146 540;$37 442 180;;;
29;The Bourne Ultimatum;Universal;Action;$98 673 300;$144 820 320;$227 471 070;$214 690 492;$123 288 965;$130 000 000
30;All the King's Men;Sony Pictures;Drama;$4 686 955;;$7 221 458;$2 300 000;;$55 000 000
31;Turistas;20th Century Fox;Thriller/Suspense;$4 540 030;$6 437 413;$7 027 762;$7 293 308;$3 507 046;$10 000 000
32;I Now Pronounce You Chuck and Larry;Universal;Comedy;$52 547 115;$81 169 105;$119 725 280;$65 983 182;$69 258 990;$85 000 000
33;Fantastic Four: Rise of the Silver Surfer;20th Century Fox;Action;$77 453 559;$105 800 808;$131 921 738;$156 293 581;$62 251 422;$120 000 000
34;The Nativity Story;New Line;Drama;$10 239 000;$18 373 000;$37 629 831;$8 802 433;$26 111 634;$35 000 000
35;Thank You For Smoking;Fox Searchlight;Black Comedy;;;$24 793 509;$14 438 702;$16 644 189;$7 500 000
36;Casino Royale;MGM;Action;$63 267 784;$100 763 154;$167 365 000;$429 000 000;$79 665 820;$102 000 000
37;Miami Vice;Universal;Action;$36 056 785;$50 564 950;$63 478 838;$100 339 718;$37 640 111;$135 000 000
38;The Transformers;Paramount Pictures;Action;;$228 950 080;$319 246 193;$389 026 399;$290 541 120;$151 000 000
39;Unaccompanied Minors;Warner Bros.;Comedy;$6 547 915;;$16 655 224;$5 293 990;$7 035 302;$25 000 000
40;Hannibal Rising;Weinstein Co.;Thriller/Suspense;$16 662 340;$24 157 310;$27 669 725;$52 913 586;$23 317 001;$50 000 000
41;Pride;Lionsgate;Drama;$4 295 317;;$7 057 600;;;
42;The Ant Bully;Warner Bros.;Adventure;$14 260 551;$20 610 757;$28 142 535;$27 038 594;$28 487 251;$45 000 000
43;Surf's Up;Sony Pictures;Adventure;$25 370 697;$40 612 980;$58 867 694;$86 528 051;$46 067 803;$100 000 000
44;Material Girls;MGM;Comedy;$6 190 228;;$11 449 638;$1 000 000;$12 117 535;
45;Daddy Day Camp;Sony Pictures;Comedy;;;$13 235 267;$4 962 131;$5 394 066;$76 000 000
46;Pulse;Weinstein/Dimension;Horror;$11 176 099;$16 228 598;$20 264 436;$9 507 049;;$7 500 000
47;Vacancy;Sony/Screen Gems;Thriller/Suspense;$9 667 558;$14 985 909;$19 063 007;$5 300 000;$15 476 934;
48;TMNT;Weinstein Co.;Action;$29 268 284;$41 781 886;$54 149 098;$40 860 790;$30 361 634;$35 000 000
49;Invincible;Buena Vista;Drama;$22 640 843;$39 870 508;$57 806 952;$673 876;$48 056 452;
50;Flyboys;MGM;Drama;$7 595 128;$10 794 574;$13 090 630;$1 725 749;$23 600 109;$60 000 000
51;Mr. Brooks;MGM;Thriller/Suspense;$13 682 301;$20 621 219;$28 476 219;$17 512 793;$29 822 828;
52;Sunshine;Fox Searchlight;Thriller/Suspense;$362 501;$2 235 239;$3 688 560;$28 342 050;$6 319 960;$40 000 000
53;The Fountain;Warner Bros.;Drama;;;$10 144 010;$5 317 628;$8 742 316;$35 000 000
54;Clerks II;MGM;Comedy;;$20 987 916;$24 148 068;$1 746 405;$26 390 836;$5 000 000
55;Pan's Labyrinth;PictureHouse;Horror;;;$37 634 615;$45 600 000;$40 752 599;$16 000 000
56;John Tucker Must Die;20th Century Fox;Comedy;$22 572 760;$32 751 462;$41 011 711;$27 812 815;$32 656 099;
57;Little Man;Sony Pictures;Comedy;;;$58 636 047;$43 000 000;$32 683 684;$64 000 000
58;Hot Fuzz;Focus Features;Comedy;$7 724 188;$14 090 753;$23 618 786;$55 578 707;$33 365 115;$16 000 000
59;Norbit;Paramount Pictures;Comedy;$42 082 178;$64 938 373;$95 673 607;$63 300 000;$44 106 290;
60;Superbad;Sony Pictures;Comedy;$50 572 274;$76 834 795;$121 463 226;$48 400 000;$134 374 749;$17 500 000
61;Spider-Man 3;Sony Pictures;Adventure;$182 070 572;$253 357 629;$336 530 303;$554 341 323;$123 997 036;$258 000 000
62;Next;Sony Pictures;Action;$9 066 641;$13 000 019;$18 211 013;$55 380 487;$18 978 879;
63;Superman Returns;Warner Bros.;Adventure;;;$200 120 000;$191 000 000;$81 570 819;$232 000 000
64;X-Men: The Last Stand;20th Century Fox;Action;;;$234 362 462;$224 997 093;$103 539 395;$150 000 000
65;The Queen;Miramax;Drama;;;$56 441 711;$66 398 892;$29 155 509;$15 000 000
66;The Descent;Lionsgate;Thriller/Suspense;$12 927 112;$19 882 850;$26 024 456;$31 005 153;$22 436 857;$7 000 000
67;Perfect Stranger;Sony Pictures;Thriller/Suspense;$13 968 118;$19 418 295;$23 760 822;$38 765 566;$23 711 660;
68;Freedom Writers;Paramount Pictures;Drama;$11 323 827;$21 317 621;$36 605 602;$6 485 139;$20 489 423;$21 000 000
69;The Ex;Weinstein Co.;Romantic Comedy;$1 944 838;;$3 091 922;$646 700;$1 827 435;
70;Are We Done Yet?;Sony Pictures;Comedy;;;$49 662 533;$8 725 535;$22 928 049;
71;Waitress;Fox Searchlight;Drama;;;$19 097 550;$3 104 630;$23 084 465;$1 500 000
72;Georgia Rule;Universal;Drama;$9 121 575;$14 424 970;$18 882 880;$1 936 721;$19 347 243;$20 000 000
73;Iraq in Fragments;Typecast Releasing;Documentary;;;$204 462;;;
74;Lady in the Water;Warner Bros.;Drama;;$35 922 083;$42 285 169;$30 500 000;$12 428 204;$75 000 000
75;Once;Fox Searchlight;Drama;;;$9 445 857;$9 551 317;;$150 000
76;Disturbia;Paramount Pictures;Thriller/Suspense;$27 194 364;$43 085 763;$80 209 692;$37 363 351;$34 408 161;$20 000 000
77;Balls of Fury;Focus Features;Comedy;;;$32 886 940;$7 991 682;$19 013 476;
78;Idiocracy;20th Century Fox;Comedy;$234 596;$351 327;$444 093;$41 106;;
79;Hot Rod;Paramount Pictures;Comedy;$8 792 476;$12 534 240;$13 938 332;$396 069;$23 972 256;$25 000 000
80;Ice Age: The Meltdown;20th Century Fox;Adventure;;;$195 330 621;$456 568 661;$131 324 982;$75 000 000
81;The Covenant;Sony/Screen Gems;Thriller/Suspense;$11 013 531;$17 004 815;$23 364 784;$14 800 000;$26 301 459;$20 000 000
