Player;Team;Position;Annual Salary;Contract Yrs;Contract Amt;Contract Thru
Bibby, Mike;Atlanta Hawks;G;$14.983.603 ;1;$14.983.603 ;2008-09
Johnson, Joe;Atlanta Hawks;G;$14.232.566 ;5;$70.000.000 ;2009-10
Smith, Josh;Atlanta Hawks;F;$10.000.000 ;5;$58.000.000 ;2012-13
Claxton, Speedy;Atlanta Hawks;G;$5.757.818 ;4;$25.000.000 ;2010-11
Williams, Marvin;Atlanta Hawks;F;$5.636.142 ;4;$18.160.000 ;2008-09(t)
Horford, Al;Atlanta Hawks;C-F;$4.023.720 ;3;$12.080.160 ;2009-10
Pachulia, Zaza;Atlanta Hawks;C;$4.000.000 ;4;$16.000.000 ;2008-09
Evans, Maurice;Atlanta Hawks;F-G;$2.500.000 ;3;$7.500.000 ;2010-11
Law, Acie;Atlanta Hawks;G;$2.071.680 ;3;$6.214.920 ;2009-10
Murray, Ronald;Atlanta Hawks;G;$1.500.000 ;1;$1.500.000 ;2008-09
Morris , Randolph;Atlanta Hawks;C;$797.581 ;1;$797.581 ;2008-09
Jones , Solomon;Atlanta Hawks;F;$797.581 ;3;$2.202.000 ;2008-09
Gardner, Thomas;Atlanta Hawks;G;$711.517 ;1;$711.517 ;2008-09
West, Mario;Atlanta Hawks;G;$711.517 ;1;$711.517 ;2008-09
Hunter, Othello;Atlanta Hawks;F;$442.114 ;1;$442.114 ;2008-09
Garnett, Kevin;Boston Celtics;F;$24.751.934 ;5;$100.000.000 ;2008-09 (p)
Allen, Ray;Boston Celtics;G;$18.388.430 ;5;$80.000.000 ;2009-10
Pierce, Paul;Boston Celtics;F;$18.077.903 ;5;$59.000.000 ;2010-11
Perkins, Kendrick;Boston Celtics;C;$4.078.880 ;5;$16.000.000 ;2010-11
Scalabrine, Brian;Boston Celtics;F-C;$3.206.897 ;5;$15.000.000 ;2009-10
House, Eddie;Boston Celtics;G;$2.700.000 ;2;$5.600.000 ;2009-10
Allen, Tony;Boston Celtics;G;$2.500.000 ;5;$5.000.000 ;2009-10
Rondo , Rajon;Boston Celtics;G;$1.315.080 ;4;$5.783.000 ;2009-10 (t)
Giddens, J.R.;Boston Celtics;G;$957.120 ;5;$8.053.278 ;2012-13
Powe , Leon;Boston Celtics;F;$797.581 ;3;$1.917.000 ;2008-09
Pruitt, Gabe;Boston Celtics;G;$711.517 ;4;$2.187.014 ;2010-11
Davis, Glen;Boston Celtics;F;$711.517 ;3;$1.138.680 ;2009-10
Walker, Bill;Boston Celtics;G-F;$542.114 ;4;$3.049.023 ;2011-12
Okafor, Emeka;Charlotte Bobcats;C-F;$9.537.500 ;6;$72.000.000 ;2013-14
Wallace, Gerald;Charlotte Bobcats;F;$9.500.000 ;6;$57.000.000 ;2012-13 (p)
Diaw, Boris;Charlotte Bobcats;F-C;$9.000.000 ;5;$45.000.000 ;2011-12 (p)
Howard, Juwan;Charlotte Bobcats;F;$6.286.548 ;6;$36.900.000 ;2008-09 (p)
Radmanovic, Vladimir;Charlotte Bobcats;F;$6.049.400 ;5;$31.000.000 ;2010-11
Mohammed, Nazr;Charlotte Bobcats;C;$6.049.400 ;5;$31.000.000 ;2010-11 (t)
Diop, DeSagana;Charlotte Bobcats;C;$5.585.000 ;5;$34.000.000 ;2012-13
Bell, Raja;Charlotte Bobcats;G;$5.000.000 ;5;$24.000.000 ;2009-10
Felton, Raymond;Charlotte Bobcats;G;$4.148.715 ;4;$13.330.000 ;2008-09 (t)
Sean, May;Charlotte Bobcats;F;$2.661.026 ;3;$5.202.180 ;2007-08
Augustin, D.J.;Charlotte Bobcats;G;$2.208.960 ;5;$14.745.926 ;2012-13
