Consumer;Gender;Age;Preference
1;F;Over 60;Our brand
2;F;Between 40 and 60;Our brand
3;M;Between 40 and 60;Our brand
4;F;Over 60;Competing brand
5;M;Between 20 and 40;Our brand
6;F;Between 20 and 40;Competing brand
7;F;Between 20 and 40;Our brand
8;F;Between 40 and 60;Competing brand
9;F;Between 20 and 40;Competing brand
10;F;Between 40 and 60;Competing brand
11;F;Over 60;Competing brand
12;F;Between 20 and 40;Our brand
13;F;Over 60;Competing brand
14;F;Between 40 and 60;Competing brand
15;F;Between 40 and 60;Competing brand
16;F;Between 20 and 40;Our brand
17;F;Between 20 and 40;Competing brand
18;F;Between 40 and 60;Competing brand
19;F;Over 60;Our brand
20;F;Between 20 and 40;Our brand
21;M;Over 60;Our brand
22;F;Between 40 and 60;Competing brand
23;F;Between 40 and 60;Competing brand
24;F;Between 40 and 60;Our brand
25;F;Between 20 and 40;Our brand
26;M;Between 20 and 40;Our brand
27;M;Between 20 and 40;Our brand
28;F;Over 60;Competing brand
29;F;Between 20 and 40;Competing brand
30;F;Between 40 and 60;Competing brand
31;F;Between 20 and 40;Our brand
32;F;Between 20 and 40;Our brand
33;F;Between 20 and 40;Competing brand
34;F;Between 40 and 60;Competing brand
35;F;Between 20 and 40;Competing brand
36;F;Between 40 and 60;Our brand
37;F;Between 40 and 60;Our brand
38;M;Between 20 and 40;Our brand
39;F;Between 20 and 40;Competing brand
40;F;Between 40 and 60;Competing brand
41;M;Less than 20;Our brand
42;M;Less than 20;Our brand
43;F;Between 40 and 60;Our brand
44;F;Over 60;Competing brand
45;M;Less than 20;Competing brand
46;F;Between 20 and 40;Competing brand
47;M;Between 20 and 40;Our brand
48;F;Over 60;Our brand
49;F;Between 20 and 40;Competing brand
50;F;Between 20 and 40;Our brand
51;F;Between 40 and 60;Our brand
52;F;Between 20 and 40;Our brand
53;F;Over 60;Competing brand
54;F;Between 40 and 60;Competing brand
55;F;Between 20 and 40;Competing brand
56;F;Over 60;Competing brand
57;F;Between 40 and 60;Competing brand
58;M;Between 40 and 60;Our brand
59;F;Between 20 and 40;Competing brand
60;M;Over 60;Our brand
61;F;Between 20 and 40;Our brand
62;M;Between 20 and 40;Competing brand
63;F;Over 60;Competing brand
64;M;Between 40 and 60;Our brand
65;M;Between 40 and 60;Our brand
66;F;Between 20 and 40;Competing brand
67;F;Between 40 and 60;Our brand
68;M;Over 60;Competing brand
69;F;Between 20 and 40;Our brand
70;M;Between 20 and 40;Competing brand
71;F;Over 60;Competing brand
72;M;Over 60;Competing brand
73;F;Between 40 and 60;Competing brand
74;F;Between 20 and 40;Our brand
75;F;Between 40 and 60;Our brand
76;M;Between 40 and 60;Competing brand
77;F;Between 40 and 60;Our brand
78;M;Between 20 and 40;Our brand
79;F;Between 40 and 60;Our brand
80;F;Between 20 and 40;Competing brand
81;M;Over 60;Our brand
82;M;Between 40 and 60;Competing brand
83;F;Between 40 and 60;Our brand
84;F;Between 20 and 40;Our brand
85;M;Less than 20;Our brand
86;F;Between 40 and 60;Our brand
87;M;Between 40 and 60;Our brand
88;M;Between 20 and 40;Our brand
89;F;Between 40 and 60;Our brand
90;M;Between 40 and 60;Competing brand
91;M;Between 40 and 60;Competing brand
92;M;Between 20 and 40;Our brand
93;F;Between 20 and 40;Competing brand
94;F;Over 60;Competing brand
95;F;Between 20 and 40;Competing brand
96;F;Between 20 and 40;Our brand
97;F;Between 20 and 40;Competing brand
98;F;Over 60;Competing brand
99;F;Between 20 and 40;Competing brand
100;F;Between 20 and 40;Competing brand
101;F;Less than 20;Competing brand
102;F;Over 60;Competing brand
103;F;Less than 20;Competing brand
104;F;Between 20 and 40;Our brand
105;M;Less than 20;Our brand
106;F;Between 20 and 40;Our brand
107;F;Between 20 and 40;Our brand
108;M;Less than 20;Our brand
109;M;Between 20 and 40;Competing brand
110;F;Between 40 and 60;Competing brand
111;F;Between 40 and 60;Our brand
112;F;Between 20 and 40;Our brand
113;M;Less than 20;Our brand
114;M;Between 40 and 60;Our brand
115;F;Between 20 and 40;Competing brand
116;M;Over 60;Competing brand
117;M;Over 60;Our brand
118;F;Between 20 and 40;Competing brand
119;F;Between 20 and 40;Competing brand
120;F;Between 20 and 40;Competing brand
121;F;Over 60;Competing brand
122;F;Between 20 and 40;Our brand
123;F;Between 40 and 60;Competing brand
124;F;Between 40 and 60;Our brand
125;F;Between 20 and 40;Our brand
126;F;Between 20 and 40;Competing brand
127;M;Between 40 and 60;Competing brand
128;M;Between 20 and 40;Our brand
129;F;Between 40 and 60;Our brand
130;F;Between 20 and 40;Competing brand
131;F;Over 60;Our brand
132;M;Over 60;Competing brand
