Month;Total Sales
1992-01-01;1519
1992-02-01;1551
1992-03-01;1606
1992-04-01;1686
1992-05-01;1834
1992-06-01;1786
1992-07-01;1924
1992-08-01;1874
1992-09-01;1781
1992-10-01;1894
1992-11-01;1843
1992-12-01;2527
1993-01-01;1623
1993-02-01;1539
1993-03-01;1688
1993-04-01;1725
1993-05-01;1807
1993-06-01;1804
1993-07-01;1962
1993-08-01;1788
1993-09-01;1717
1993-10-01;1769
1993-11-01;1794
1993-12-01;2459
1994-01-01;1557
1994-02-01;1514
1994-03-01;1724
1994-04-01;1769
1994-05-01;1842
1994-06-01;1869
1994-07-01;1994
1994-08-01;1870
1994-09-01;1834
1994-10-01;1817
1994-11-01;1857
1994-12-01;2593
1995-01-01;1565
1995-02-01;1510
1995-03-01;1736
1995-04-01;1709
1995-05-01;1818
1995-06-01;1873
1995-07-01;1898
1995-08-01;1872
1995-09-01;1856
1995-10-01;1800
1995-11-01;1892
1995-12-01;2616
1996-01-01;1690
1996-02-01;1662
1996-03-01;1849
1996-04-01;1810
1996-05-01;1970
1996-06-01;1971
1996-07-01;2047
1996-08-01;2075
1996-09-01;1791
1996-10-01;1870
1996-11-01;2003
1996-12-01;2562
1997-01-01;1716
1997-02-01;1629
1997-03-01;1862
1997-04-01;1826
1997-05-01;2071
1997-06-01;2012
1997-07-01;2109
1997-08-01;2092
1997-09-01;1904
1997-10-01;2063
1997-11-01;2096
1997-12-01;2842
1998-01-01;1859
1998-02-01;1780
1998-03-01;1906
1998-04-01;1976
1998-05-01;2153
1998-06-01;2072
1998-07-01;2222
1998-08-01;2130
1998-09-01;2041
1998-10-01;2174
1998-11-01;2166
1998-12-01;3054
1999-01-01;1877
1999-02-01;1818
1999-03-01;1998
1999-04-01;2111
1999-05-01;2224
1999-06-01;2159
1999-07-01;2353
1999-08-01;2153
1999-09-01;2139
1999-10-01;2232
1999-11-01;2287
1999-12-01;3284
2000-01-01;1931
2000-02-01;1987
2000-03-01;2203
2000-04-01;2144
2000-05-01;2371
2000-06-01;2427
2000-07-01;2477
2000-08-01;2435
2000-09-01;2371
2000-10-01;2365
2000-11-01;2562
2000-12-01;3395
2001-01-01;2121
2001-02-01;2063
2001-03-01;2340
2001-04-01;2244
2001-05-01;2484
2001-06-01;2540
2001-07-01;2496
2001-08-01;2532
2001-09-01;2329
2001-10-01;2423
2001-11-01;2652
2001-12-01;3559
2002-01-01;2125
2002-02-01;2121
2002-03-01;2379
2002-04-01;2312
2002-05-01;2583
2002-06-01;2500
2002-07-01;2582
2002-08-01;2610
2002-09-01;2310
2002-10-01;2415
2002-11-01;2617
2002-12-01;3507
2003-01-01;2134
2003-02-01;2059
2003-03-01;2289
2003-04-01;2348
2003-05-01;2593
2003-06-01;2450
2003-07-01;2629
2003-08-01;2678
2003-09-01;2478
2003-10-01;2659
2003-11-01;2678
2003-12-01;3681
2004-01-01;2308
2004-02-01;2232
2004-03-01;2411
2004-04-01;2567
2004-05-01;2702
2004-06-01;2660
2004-07-01;2886
2004-08-01;2641
2004-09-01;2639
2004-10-01;2753
2004-11-01;2792
2004-12-01;3843
2005-01-01;2241
2005-02-01;2337
2005-03-01;2553
2005-04-01;2663
2005-05-01;2734
2005-06-01;2808
2005-07-01;2951
2005-08-01;2819
2005-09-01;2813
2005-10-01;2832
2005-11-01;2968
2005-12-01;4186
2006-01-01;2462
2006-02-01;2560
2006-03-01;2799
2006-04-01;2840
2006-05-01;3072
2006-06-01;3112
2006-07-01;3176
2006-08-01;3082
2006-09-01;3059
2006-10-01;2965
2006-11-01;3192
2006-12-01;4354
2007-01-01;2610
2007-02-01;2641
2007-03-01;3049
2007-04-01;2911
2007-05-01;3312
2007-06-01;3422
2007-07-01;3383
2007-08-01;3357
2007-09-01;3123
2007-10-01;3158
2007-11-01;3374
2007-12-01;4508
2008-01-01;2767
2008-02-01;2910
2008-03-01;3106
2008-04-01;3126
2008-05-01;3574
2008-06-01;3438
2008-07-01;3691
2008-08-01;3647
2008-09-01;3303
2008-10-01;3516
2008-11-01;3548
2008-12-01;4660
2009-01-01;3036
2009-02-01;2897
2009-03-01;3140
2009-04-01;3256
2009-05-01;3606
2009-06-01;3437
2009-07-01;3692
2009-08-01;3524
2009-09-01;3376
2009-10-01;3536
2009-11-01;3455
2009-12-01;4720
