Month;Tickets
01/2018;605
02/2018;647
03/2018;636
04/2018;612
05/2018;714
06/2018;765
07/2018;698
08/2018;615
09/2018;588
10/2018;685
11/2018;711
12/2018;664
01/2019;630
02/2019;696
03/2019;670
04/2019;671
05/2019;724
06/2019;787
07/2019;724
08/2019;651
09/2019;589
10/2019;697
11/2019;750
12/2019;705
01/2020;664
02/2020;704
03/2020;691
04/2020;672
05/2020;753
06/2020;787
07/2020;751
08/2020;695
09/2020;643
10/2020;724
11/2020;803
12/2020;705
01/2021;720
02/2021;757
03/2021;707
04/2021;692
05/2021;828
06/2021;827
07/2021;763
08/2021;710
09/2021;673
10/2021;793
11/2021;852
12/2021;710
