jaar;periode;aantal transacties
2010;Q1;11 158
2010;Q2;12 343
2010;Q3;12 170
2010;Q4;12 073
2011;Q1;11 586
2011;Q2;12 902
2011;Q3;12 356
2011;Q4;13 835
2012;Q1;9 918
2012;Q2;12 381
2012;Q3;12 106
2012;Q4;12 936
2013;Q1;11 179
2013;Q2;11 804
2013;Q3;11 893
2013;Q4;12 346
2014;Q1;10 229
2014;Q2;12 813
2014;Q3;12 004
2014;Q4;22 242
2015;Q1;6 427
2015;Q2;11 262
2015;Q3;12 149
2015;Q4;13 684
2016;Q1;11 464
2016;Q2;13 956
2016;Q3;14 074
2016;Q4;14 833
2017;Q1;13 424
2017;Q2;14 594
2017;Q3;13 309
2017;Q4;15 124
2018;Q1;13 773
2018;Q2;13 919
2018;Q3;14 902
2018;Q4;16 034
2019;Q1;14 164
2019;Q2;15 296
2019;Q3;15 626
2019;Q4;27 008
2020;Q1;6 858
2020;Q2;11 815
2020;Q3;13 816
2020;Q4;19 633
2021;Q1;14 863
2021;Q2;16 448
2021;Q3;16 592
2021;Q4;13 039
