date	number_of_heavily_wounded
2013/01/01	285
2013/02/01	276
2013/03/01	332
2013/04/01	381
2013/05/01	393
2013/06/01	441
2013/07/01	457
2013/08/01	429
2013/09/01	423
2013/10/01	433
2013/11/01	392
2013/12/01	339
2014/01/01	308
2014/02/01	324
2014/03/01	383
2014/04/01	403
2014/05/01	406
2014/06/01	433
2014/07/01	406
2014/08/01	350
2014/09/01	426
2014/10/01	364
2014/11/01	374
2014/12/01	307
2015/01/01	307
2015/02/01	267
2015/03/01	312
2015/04/01	372
2015/05/01	354
2015/06/01	437
2015/07/01	351
2015/08/01	411
2015/09/01	380
2015/10/01	377
2015/11/01	311
2015/12/01	302
2016/01/01	322
2016/02/01	293
2016/03/01	292
2016/04/01	317
2016/05/01	381
2016/06/01	392
2016/07/01	361
2016/08/01	392
2016/09/01	414
2016/10/01	369
2016/11/01	282
2016/12/01	280
2017/01/01	238
2017/02/01	258
2017/03/01	304
2017/04/01	307
2017/05/01	364
2017/06/01	389
2017/07/01	330
2017/08/01	319
2017/09/01	301
2017/10/01	374
2017/11/01	300
2017/12/01	278
2018/01/01	246
2018/02/01	229
2018/03/01	259
2018/04/01	338
2018/05/01	365
2018/06/01	344
2018/07/01	328
2018/08/01	309
2018/09/01	338
2018/10/01	389
2018/11/01	260
2018/12/01	232
2019/01/01	244
2019/02/01	276
2019/03/01	250
2019/04/01	267
2019/05/01	296
2019/06/01	343
2019/07/01	351
2019/08/01	347
2019/09/01	340
2019/10/01	312
2019/11/01	299
2019/12/01	280
2020/01/01	242
2020/02/01	226
2020/03/01	183
2020/04/01	149
2020/05/01	295
2020/06/01	288
2020/07/01	286
2020/08/01	310
2020/09/01	338
2020/10/01	225
2020/11/01	212
2020/12/01	214
