Recruit;Height
1;74,5
2;74
3;74,6
4;69,8
5;76
6;72,3
7;66
8;70,6
9;71,9
10;71,4
11;70,6
12;73,9
13;69,3
14;75,3
15;71,5
16;65,5
17;60,5
18;71,9
19;70,7
20;70,6
21;73,4
22;72,1
23;69,3
24;74,7
25;68,5
26;70,5
27;70
28;69,9
29;71,7
30;73
31;68,8
32;75
33;67,5
34;71,3
35;69,5
36;65,3
37;74,8
38;70,5
39;71,5
40;67,6
41;69,1
42;72,1
43;72,8
44;68,3
45;71,8
46;67,1
47;72,3
48;70,7
49;70,4
50;69,1
51;70,8
52;71,6
53;73,6
54;64,8
55;68,5
56;68,5
57;74,3
58;66,5
59;74,8
60;74,1
61;71,6
62;66,3
63;67,1
64;71,7
